Num,LeetCode Problem,Topic,Video Explanation,Difficulty,Solved?,Last Solved Date,Number of times,Notes
69,Design Twitter,Heap / Priority Queue,https://www.youtube.com/watch?v=esZ4vvjwW6E,Medium,No,,,
70,Find Median From Data Stream,Heap / Priority Queue,https://www.youtube.com/watch?v=IKpM6Q8wTIY,Hard,No,,,
71,Subsets,Backtracking,https://www.youtube.com/watch?v=OQKWzRJYtwg,Medium,No,,,
72,Combination Sum,Backtracking,https://www.youtube.com/watch?v=dJBbuDK4ZRk,Medium,No,,,
73,Permutations,Backtracking,https://www.youtube.com/watch?v=_tgwDDWuU-Q,Medium,No,,,
74,Subsets II,Backtracking,https://www.youtube.com/watch?v=GPigeECXWZE,Medium,No,,,
75,Combination Sum II,Backtracking,https://www.youtube.com/watch?v=I6f8Za0vRxE,Medium,No,,,
76,Word Search,Backtracking,https://www.youtube.com/watch?v=8K2Sh9ingJA,Medium,No,,,
77,Palindrome Partitioning,Backtracking,https://www.youtube.com/watch?v=NWe3W2bMVAU,Medium,No,,,
78,Letter Combinations of a Phone Number,Backtracking,https://www.youtube.com/watch?v=dmYiOfy8a-k,Medium,No,,,
79,N Queens,Backtracking,https://www.youtube.com/watch?v=MOrMPEq6P5w,Hard,No,,,
80,Number of Islands,Graphs,https://www.youtube.com/watch?v=H-2Nh2RXX6g,Medium,No,,,
81,Clone Graph,Graphs,https://www.youtube.com/watch?v=1aN0WWM0-Eo,Medium,No,,,
